mode: atomic
flakeCore/Client.go:27.69,31.23 3 1
flakeCore/Client.go:46.2,46.12 1 1
flakeCore/Client.go:49.2,49.20 1 1
flakeCore/Client.go:31.23,32.20 1 3
flakeCore/Client.go:32.20,44.4 6 1
flakeCore/Client.go:46.12,48.3 1 0
flakeCore/Client.go:52.71,59.23 7 1
flakeCore/Client.go:80.2,80.20 1 1
flakeCore/Client.go:83.2,83.23 1 1
flakeCore/Client.go:59.23,60.49 1 3
flakeCore/Client.go:60.49,78.4 4 1
flakeCore/Client.go:80.20,82.3 1 0
flakeCore/Client.go:86.43,87.18 1 1
flakeCore/Client.go:87.18,91.3 3 1
flakeCore/Client.go:91.8,93.3 1 0
flakeCore/Client.go:96.49,97.18 1 1
flakeCore/Client.go:97.18,104.3 6 1
flakeCore/Client.go:104.8,106.3 1 0
flakeCore/Client.go:109.36,111.2 1 0
flakeCore/Client.go:113.41,114.18 1 1
flakeCore/Client.go:114.18,120.3 5 1
flakeCore/Client.go:120.8,122.3 1 0
flakeCore/Client.go:125.55,126.18 1 1
flakeCore/Client.go:126.18,131.3 4 1
flakeCore/Client.go:131.8,133.3 1 0
flakeCore/Client.go:136.36,149.2 1 0
flakeCore/Client.go:151.41,168.2 3 0
flakeCore/constants.go:32.43,37.2 4 1
flakeCore/constants.go:39.32,41.2 1 11
flakeCore/constants.go:43.32,47.2 3 21
flakeCore/constants.go:49.43,56.2 6 8
flakeCore/constants.go:58.54,67.2 8 2
flakeCore/constants.go:69.60,76.2 6 2
flakeCore/constants.go:78.42,85.2 6 4
flakeCore/constants.go:87.54,92.31 5 1
flakeCore/constants.go:98.2,98.12 1 1
flakeCore/constants.go:101.2,107.17 2 1
flakeCore/constants.go:92.31,93.20 1 3
flakeCore/constants.go:93.20,96.4 2 1
flakeCore/constants.go:98.12,100.3 1 0
flakeCore/generator.go:42.52,44.27 1 0
flakeCore/generator.go:63.2,63.69 1 0
flakeCore/generator.go:44.27,46.17 2 0
flakeCore/generator.go:50.3,50.35 1 0
flakeCore/generator.go:46.17,48.4 1 0
flakeCore/generator.go:50.35,52.25 2 0
flakeCore/generator.go:52.25,60.5 2 0
flakeCore/generator.go:66.44,69.6 2 0
flakeCore/generator.go:82.2,82.17 1 0
flakeCore/generator.go:69.6,71.17 2 0
flakeCore/generator.go:76.3,78.26 3 0
flakeCore/generator.go:71.17,73.4 1 0
flakeCore/generator.go:78.26,80.4 1 0
flakeCore/generator.go:85.38,111.42 3 0
flakeCore/generator.go:116.2,116.18 1 0
flakeCore/generator.go:120.2,120.13 1 0
flakeCore/generator.go:111.42,113.3 1 0
flakeCore/generator.go:116.18,118.3 1 0
flakeCore/generator.go:123.41,127.2 2 0
flakeCore/generator.go:129.33,131.2 1 4
flakeCore/generator.go:133.33,137.2 3 8
flakeCore/generator.go:139.44,141.2 1 0
flakeCore/generator.go:143.48,152.2 8 2
flakeCore/generator.go:158.31,160.29 2 0
flakeCore/generator.go:164.2,164.12 1 0
flakeCore/generator.go:160.29,163.3 2 0
flakeCore/generator.go:167.43,169.28 2 0
flakeCore/generator.go:173.2,173.12 1 0
flakeCore/generator.go:169.28,172.3 2 0
flakeCore/generator.go:176.44,178.32 2 1
flakeCore/generator.go:190.2,190.16 1 1
flakeCore/generator.go:178.32,189.3 5 3
flakeCore/generator.go:193.13,198.2 4 1
flakeCore/generator.go:200.37,211.2 5 0
flakeCore/server.go:26.13,28.2 1 1
flakeCore/server.go:30.48,32.17 2 1
flakeCore/server.go:32.17,34.3 1 0
flakeCore/server.go:34.8,51.3 4 1
flakeCore/server.go:54.43,55.18 1 1
flakeCore/server.go:55.18,59.3 3 1
flakeCore/server.go:59.8,61.3 1 0
flakeCore/server.go:64.49,65.18 1 1
flakeCore/server.go:65.18,72.3 6 1
flakeCore/server.go:72.8,74.3 1 0
flakeCore/server.go:77.51,78.18 1 1
flakeCore/server.go:78.18,80.36 2 1
flakeCore/server.go:80.36,85.4 4 1
flakeCore/server.go:85.9,87.4 1 0
flakeCore/server.go:88.8,90.3 1 0
flakeCore/server.go:93.67,94.18 1 1
flakeCore/server.go:94.18,97.42 3 1
flakeCore/server.go:97.42,99.4 1 1
flakeCore/server.go:99.9,101.4 1 0
flakeCore/server.go:102.8,104.3 1 0
flakeCore/server.go:107.36,119.2 1 0
flakeCore/server.go:121.35,137.2 3 0
